Target Schema,Query Attribute,Matched Attribute,Confidence Score,Match Type
CanCOGeNCovid19,purpose_of_sampling,purpose_of_sampling,100.0%,Exact
CanCOGeNCovid19,caseid,case_id,92.3%,Fuzzy
CanCOGeNCovid19,related_specimen_relationship_type,related_specimen_relationship_type,100.0%,Exact
CanCOGeNCovid19,exposure_contact_level,exposure_contact_level,100.0%,Exact
CanCOGeNCovid19,gene_name_4,gene_name_1,90.9%,Fuzzy
CanCOGeNCovid19,consensus_sequence_filepath,consensus_sequence_filepath,100.0%,Exact
CanCOGeNCovid19,gene_name_3,gene_name_3,100.0%,Exact
CanCOGeNCovid19,sample_collector_contact_email,sample_collector_contact_email,100.0%,Exact
CanCOGeNCovid19,library_id,library_id,100.0%,Exact
CanCOGeNCovid19,reference_genome_accession,reference_genome_accession,100.0%,Exact
CanCOGeNCovid19,most_recent_travel_departure_date,most_recent_travel_departure_date,100.0%,Exact
CanCOGeNCovid19,exposure_details,exposure_details,100.0%,Exact
CanCOGeNCovid19,host_age,host_age,100.0%,Exact
CanCOGeNCovid19,r2_fastq_filename,r2_fastq_filename,100.0%,Exact
CanCOGeNCovid19,sequencing_date,sequencing_date,100.0%,Exact
CanCOGeNCovid19,fast5_filename,fast5_filename,100.0%,Exact
CanCOGeNCovid19,related_specimen_primary_id,related_specimen_primary_id,100.0%,Exact
CanCOGeNCovid19,collection_method,collection_method,100.0%,Exact
CanCOGeNCovid19,r1_fastq_filename,r1_fastq_filename,100.0%,Exact
CanCOGeNCovid19,diagnostic_pcr_ct_value_4,diagnostic_pcr_ct_value_3,96.0%,Fuzzy
CanCOGeNCovid19,purpose_of_sequencing_details,purpose_of_sequencing_details,100.0%,Exact
CanCOGeNCovid19,bioproject_accession,bioproject_accession,100.0%,Exact
CanCOGeNCovid19,sequencing_protocol,sequencing_protocol,100.0%,Exact
CanCOGeNCovid19,host_gender,host_gender,100.0%,Exact
CanCOGeNCovid19,host_health_status_details,host_health_status_details,100.0%,Exact
CanCOGeNCovid19,dataharmonizer_provenance,dataharmonizer_provenance,100.0%,Exact
CanCOGeNCovid19,preexisting_conditions_and_risk_factors,preexisting_conditions_and_risk_factors,100.0%,Exact
CanCOGeNCovid19,sample_collected_by,sample_collected_by,100.0%,Exact
CanCOGeNCovid19,sequence_submitted_by,sequence_submitted_by,100.0%,Exact
CanCOGeNCovid19,consensus_genome_length,consensus_genome_length,100.0%,Exact
CanCOGeNCovid19,depth_of_coverage_value,depth_of_coverage_value,100.0%,Exact
CanCOGeNCovid19,most_recent_travel_return_date,most_recent_travel_return_date,100.0%,Exact
CanCOGeNCovid19,gene_name_2,gene_name_2,100.0%,Exact
CanCOGeNCovid19,antiviral_therapy,NOT FOUND,0%,Gap
CanCOGeNCovid19,experimental_control_details,NOT FOUND,0%,Gap
CanCOGeNCovid19,experimental_specimen_role_type,NOT FOUND,0%,Gap
CanCOGeNCovid19,insdc_assembly_accession,NOT FOUND,0%,Gap
CanCOGeNCovid19,insdc_sequence_read_accession,NOT FOUND,0%,Gap
CanCOGeNCovid19,isolate_id,NOT FOUND,0%,Gap
CanCOGeNCovid19,prior_antiviral_treatment_during_prior_mpox_infection,NOT FOUND,0%,Gap
CanCOGeNCovid19,prior_mpox_antiviral_treatment,NOT FOUND,0%,Gap
CanCOGeNCovid19,prior_mpox_infection,NOT FOUND,0%,Gap
